Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
2449,Normal/Others,"WS/MP370/2024-2025/140200-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Jadakudar, GP-Beheradihi, Block-Balisankara",20-Sep-2024,480000,05-Dec-2024,WS/MP370/2024-2025/140200,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-12-05,480000.0,Work Completed,76.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,76.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2450,Normal/Others,"WS/MP370/2024-2025/140201-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Khampur, GP-Rampur, Block-Balisankara",20-Sep-2024,480000,28-Nov-2024,WS/MP370/2024-2025/140201,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-11-28,480000.0,Work Completed,69.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,69.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2451,Normal/Others,"WS/MP370/2024-2025/140202-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Kupatangar, GP-Kinjirkela, Block-Balisankara",20-Sep-2024,480000,05-Dec-2024,WS/MP370/2024-2025/140202,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-12-05,480000.0,Work Completed,76.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,76.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2452,Normal/Others,"WS/MP370/2024-2025/140203-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Bandega, GP-Bandega, Block Balisankara",20-Sep-2024,480000,19-Nov-2024,WS/MP370/2024-2025/140203,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-11-19,480000.0,Work Completed,60.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,60.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2453,Normal/Others,"WS/MP370/2024-2025/140204-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. Primary School, Girjapara, GP-Dhubendand, Block-Balisankara",20-Sep-2024,480000,19-Nov-2024,WS/MP370/2024-2025/140204,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-11-19,480000.0,Work Completed,60.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,60.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2454,Normal/Others,"WS/MP370/2024-2025/140205-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Tilia, GP-Sagbahal, Block-Balisankara",20-Sep-2024,480000,19-Nov-2024,WS/MP370/2024-2025/140205,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-11-19,480000.0,Work Completed,60.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,60.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2455,Normal/Others,"WS/MP370/2024-2025/140206-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Sikajore, GP-Tileikani",20-Sep-2024,480000,05-Dec-2024,WS/MP370/2024-2025/140206,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-12-05,480000.0,Work Completed,76.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,76.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2456,Normal/Others,"WS/MP370/2024-2025/140207-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Gailo, GP-Jaisar, Block-Subdega",20-Sep-2024,480000,25-Oct-2024,WS/MP370/2024-2025/140207,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-10-25,480000.0,Work Completed,35.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,35.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2457,Normal/Others,"WS/MP370/2024-2025/140208-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Luhurenberni, GP-Hamirpur, Block-Subdega",20-Sep-2024,480000,25-Oct-2024,WS/MP370/2024-2025/140208,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-10-25,480000.0,Work Completed,35.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,35.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2458,Normal/Others,"WS/MP370/2024-2025/140209-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Jamuna, GP-Jamuna, Block-Subdega",20-Sep-2024,480000,25-Oct-2024,WS/MP370/2024-2025/140209,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-10-25,480000.0,Work Completed,35.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,35.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2459,Normal/Others,"WS/MP370/2024-2025/140210-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Baurimunda, GP- Rajpur, Block-Subdega",20-Sep-2024,480000,25-Oct-2024,WS/MP370/2024-2025/140210,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-10-25,480000.0,Work Completed,35.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,35.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2460,Normal/Others,"WS/MP370/2024-2025/140211-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Tedgamuha, GP-Rajpur, Block-Subdega",20-Sep-2024,480000,25-Oct-2024,WS/MP370/2024-2025/140211,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-10-25,480000.0,Work Completed,35.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,35.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2461,Normal/Others,WS/MP18076/2025-2026/140212-Construction of New Building,Karnataka,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,Construction of New Building for Hujenahalli Milk Producers Co-operative Society Ltd.,10-Sep-2024,300000,08-Aug-2025,WS/MP18076/2025-2026/140212,Construction of New Building,300000.0,2024-09-10,2025-08-08,300000.0,Work Completed,332.0,True,500000.0,898888.2021697693,state+category,-0.2224970797449924,1,300000.0,True,0,0.0,332.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2462,Normal/Others,WS/MP18176/2024-2025/140224-Construction of buildings for crèches and anganwadies,Tamil Nadu,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),SACHITHANANTHAM R,DINDIGUL,CONSTRUCTION OF KATTAKAMANPATTY ANGANWADI BUILDING,12-Sep-2024,1655000,20-Sep-2024,WS/MP18176/2024-2025/140224,Construction of buildings for crèches and anganwadies,1655000.0,2024-09-12,2024-09-20,1655000.0,Work Completed,8.0,True,1652193.0,254432.9906252604,state+category,0.011032374351698234,1,,False,0,702.0,8.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,64.4,Low,Medium,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 702 days (>1 year, no completion)",33,,0,False
2463,Normal/Others,"WS/MP18074/2024-2025/140226-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from Maniram Munda's house to Gothauli in village Todangdih of Baruhatu Panchayat under Kuchai block.,10-Sep-2024,500000,09-Oct-2024,WS/MP18074/2024-2025/140226,"Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,2024-09-10,2024-10-09,500000.0,Vendor Identification,29.0,True,517500.0,216718.325231962,state+category,-0.08074997802455826,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.6,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2464,Normal/Others,WS/MP18074/2024-2025/140227-Construction of public staircase/ stair ghat for public convenience,Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of bathing ghat in Laka pond of village Aruwan of Aruwan Panchayat under Kuchai block.,10-Sep-2024,500000,09-Oct-2024,WS/MP18074/2024-2025/140227,Construction of public staircase/ stair ghat for public convenience,500000.0,2024-09-10,2024-10-09,500000.0,Vendor Identification,29.0,True,791200.0,505756.35548266827,category-only,-0.5757713113107465,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.7,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2465,Normal/Others,WS/MP18074/2024-2025/140228-Construction of public staircase/ stair ghat for public convenience,Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of bathing ghat in government pond (Burubanda) in village Galudih of Tilopada Panchayat under Kuchai block.,10-Sep-2024,500000,09-Oct-2024,WS/MP18074/2024-2025/140228,Construction of public staircase/ stair ghat for public convenience,500000.0,2024-09-10,2024-10-09,500000.0,Vendor Identification,29.0,True,791200.0,505756.35548266827,category-only,-0.5757713113107465,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.7,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2466,Normal/Others,"WS/MP18074/2024-2025/140229-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from football ground to Kanchanpur bathing ghat in village Kanchanpur of Sini Panchayat under Seraikela block.,10-Sep-2024,600000,09-Oct-2024,WS/MP18074/2024-2025/140229,"Construction of roads, link roads, pathways or any other road with or without drainage system",600000.0,2024-09-10,2024-10-09,600000.0,Vendor Identification,29.0,True,517500.0,216718.325231962,state+category,0.3806784678300604,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.8,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2467,Normal/Others,"WS/MP18074/2024-2025/140230-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from Bhagirathi Mahato's house to village Pradhan Mangal Marandi's house in village Pawarol of Mahitpur Panchayat under Seraikela block.,10-Sep-2024,500000,09-Oct-2024,WS/MP18074/2024-2025/140230,"Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,2024-09-10,2024-10-09,500000.0,Vendor Identification,29.0,True,517500.0,216718.325231962,state+category,-0.08074997802455826,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.6,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2468,Normal/Others,"WS/MP18074/2024-2025/140231-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from Utkramit Vidyalaya to Lakhindra Mahato's house in village Banddih of Banddih Panchayat under Gamharia block.,10-Sep-2024,700000,09-Oct-2024,WS/MP18074/2024-2025/140231,"Construction of roads, link roads, pathways or any other road with or without drainage system",700000.0,2024-09-10,2024-10-09,700000.0,Vendor Identification,29.0,True,517500.0,216718.325231962,state+category,0.8421069136846789,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,5.2,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2469,Normal/Others,"WS/MP18074/2024-2025/140232-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from High School More Main Road to crematorium ghat in village Telisai of Kharsawan Panchayat under Kharsawan block.,10-Sep-2024,600000,09-Oct-2024,WS/MP18074/2024-2025/140232,"Construction of roads, link roads, pathways or any other road with or without drainage system",600000.0,2024-09-10,2024-10-09,600000.0,Vendor Identification,29.0,True,517500.0,216718.325231962,state+category,0.3806784678300604,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.8,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2470,Normal/Others,"WS/MP18074/2024-2025/140233-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from Gomeya Hembram's house to Dhakkanlal Sardar's house in village Patpat of Riring Panchayat under Kharsawan block.,10-Sep-2024,500000,08-Oct-2024,WS/MP18074/2024-2025/140233,"Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,2024-09-10,2024-10-08,500000.0,Vendor Identification,28.0,True,517500.0,216718.325231962,state+category,-0.08074997802455826,1,,False,0,684.0,28.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.6,29.0,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 684 days (>1 year, no completion)",33,,0,False
2471,Normal/Others,"WS/MP18074/2024-2025/140234-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Construction of PCC road from Krishna Modi's house to Bhajanto Pradhan's house in village Jerasai of Telaidih Panchayat under Kharsawan block.,10-Sep-2024,600000,09-Oct-2024,WS/MP18074/2024-2025/140234,"Construction of roads, link roads, pathways or any other road with or without drainage system",600000.0,2024-09-10,2024-10-09,600000.0,Vendor Identification,29.0,True,517500.0,216718.325231962,state+category,0.3806784678300604,1,,False,0,683.0,29.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.8,28.5,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 683 days (>1 year, no completion)",33,,0,False
2472,Repair and Renovation,WS/MP18023/2024-2025/140235-Retrofitting in essential lifeline buildings,Assam,KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA),BIJULI KALITA MEDHI,GUWAHATI,Retrofittinng in building at Dalukagata satra uunayan Samity.,10-Sep-2024,500000,21-Feb-2025,WS/MP18023/2024-2025/140235,Retrofitting in essential lifeline buildings,500000.0,2024-09-10,2025-02-21,500000.0,Work partially Completed,164.0,True,500000.0,248268.61297045328,category-only,0.0,1,,False,0,548.0,164.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,32.9,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 548 days (>1 year, no completion)",33,,0,False
2473,Normal/Others,WS/MP405/2024-2025/140236-Providing supply pipelines for drinking water,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,Providing supply pipelines and motor for drinking water at Dantaguntla GP of Bapulapadu Mandal in Krishna District,10-Sep-2024,299297,30-Oct-2024,WS/MP405/2024-2025/140236,Providing supply pipelines for drinking water,299297.0,2024-09-10,2024-10-30,299297.0,Physical Inspection,50.0,True,261565.5,172155.70055641906,state+category,0.21917078480729477,1,299297.0,True,1,0.0,50.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,24.7,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
